SNID: 2017cbv
SURVEY: NULL
FILTERS: UBVgri
RA: 218.143417
DECL: -44.134094
REDSHIFT_FINAL: 0.004 +- 0.0010
PEAKMJD: 57840

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 57836.143 i 1395725.4577 6427.5533 12.1380 0.0050
OBS: 57836.144 i 1391874.2488 7691.7814 12.1410 0.0060
OBS: 57838.733 U 2523480.7725 65077.9271 11.4950 0.0280
OBS: 57838.734 B 1845015.4192 47581.0160 11.8350 0.0280
OBS: 57838.738 V 2175704.9509 58113.0511 11.6560 0.0290
OBS: 57838.877 U 2940356.5737 24373.5164 11.3290 0.0090
OBS: 57838.879 U 2959374.9953 24531.1659 11.3220 0.0090
OBS: 57838.881 B 2049273.8584 7549.8039 11.7210 0.0040
OBS: 57838.882 B 2049273.8584 5662.3529 11.7210 0.0030
OBS: 57838.884 V 2072048.8978 7633.7102 11.7090 0.0040
OBS: 57838.884 V 2058732.8767 7584.6522 11.7160 0.0040
OBS: 57838.885 g 2355049.2839 8676.3222 11.5700 0.0040
OBS: 57838.886 g 2348551.0241 10815.4772 11.5730 0.0050
OBS: 57838.888 r 2004472.0274 7384.7479 11.7450 0.0040
OBS: 57838.888 r 2010018.2471 7405.1809 11.7420 0.0040
OBS: 57838.889 i 1390592.8755 6403.9169 12.1420 0.0050
OBS: 57838.890 i 1399587.3226 6445.3378 12.1350 0.0050
OBS: 57839.744 U 2934945.2223 24328.6600 11.3310 0.0090
OBS: 57839.746 U 2948492.3139 24440.9560 11.3260 0.0090
OBS: 57839.748 B 2024883.3065 5594.9593 11.7340 0.0030
OBS: 57839.749 B 2021156.7670 5584.6625 11.7360 0.0030
OBS: 57839.751 i 1365211.6951 6287.0322 12.1620 0.0050
OBS: 57839.752 i 1352695.3590 7475.2708 12.1720 0.0060
OBS: 57839.770 U 2953928.6430 24486.0194 11.3240 0.0090
OBS: 57839.772 U 2978516.4294 24689.8351 11.3150 0.0090
OBS: 57839.774 B 2021156.7670 7446.2167 11.7360 0.0040
OBS: 57839.775 B 2019296.0698 5579.5212 11.7370 0.0030
OBS: 57839.776 V 2087372.7039 7690.1652 11.7010 0.0040
OBS: 57839.777 V 2095077.0524 7718.5491 11.6970 0.0040
OBS: 57839.778 g 2295091.4760 10569.2868 11.5980 0.0050
OBS: 57839.779 g 2297206.3072 8463.2208 11.5970 0.0040
OBS: 57839.780 r 2049273.8584 9437.2549 11.7210 0.0050
OBS: 57839.781 r 2041737.9447 9402.5507 11.7250 0.0050
OBS: 57839.782 i 1365211.6951 8801.8451 12.1620 0.0070
OBS: 57839.783 i 1363954.8675 7537.4931 12.1630 0.0060
OBS: 57840.839 U 2839226.2394 23535.2161 11.3670 0.0090
OBS: 57840.841 U 2862859.2709 23731.1175 11.3580 0.0090
OBS: 57840.844 B 2060629.9133 9489.5514 11.7150 0.0050
OBS: 57840.845 B 2062528.6978 9498.2957 11.7140 0.0050
OBS: 57840.846 V 2135993.8602 7869.2922 11.6760 0.0040
OBS: 57840.847 V 2135993.8602 7869.2922 11.6760 0.0040
OBS: 57840.848 g 2346388.9245 8644.4163 11.5740 0.0040
OBS: 57840.849 g 2342070.6948 8628.5073 11.5760 0.0040
OBS: 57840.850 r 2077782.0975 11482.2482 11.7060 0.0060
OBS: 57840.851 r 2066331.5176 11418.9700 11.7120 0.0060
OBS: 57840.852 i 1307374.4702 7224.8183 12.2090 0.0060
OBS: 57840.852 i 1308579.1612 8436.7216 12.2080 0.0070
OBS: 57842.004 U 2784838.4078 23084.3787 11.3880 0.0090
OBS: 57842.006 U 2784838.4078 23084.3787 11.3880 0.0090
OBS: 57842.008 B 2070141.3488 7626.6826 11.7100 0.0040
OBS: 57842.009 B 2075869.2705 7647.7850 11.7070 0.0040
OBS: 57842.011 V 2147830.4741 5934.6749 11.6700 0.0030
OBS: 57842.011 V 2149809.6104 7920.1913 11.6690 0.0040
OBS: 57842.013 g 2409905.4287 8878.4197 11.5450 0.0040
OBS: 57842.014 g 2390011.5515 11006.4099 11.5540 0.0050
OBS: 57842.015 r 2110571.1629 7775.6315 11.6890 0.0040
OBS: 57842.016 r 2118361.1352 9755.4135 11.6850 0.0050
OBS: 57842.017 i 1279970.6167 4715.5860 12.2320 0.0040
OBS: 57842.017 i 1278792.2629 7066.8672 12.2330 0.0060
OBS: 57842.840 U 2627846.5408 26623.6972 11.4510 0.0110
